Time (s),HMD_Position_X,HMD_Rotation_X
7.7836,2.366271,356.735400
7.7983,2.366334,356.738300
7.8023,2.366348,356.747800
7.8126,2.366552,356.743800
7.8235,2.366477,356.743800
7.8348,2.366398,356.733000
7.8459,2.366452,356.745200
7.8569,2.366580,356.745100
7.8679,2.366457,356.746200
7.8792,2.366420,356.744400
7.8902,2.366412,356.742200
7.9012,2.366443,356.742200
7.9124,2.366476,356.741200
7.9238,2.366544,356.750900
7.9388,2.366554,356.734900
7.9458,2.366617,356.743000
7.9571,2.366735,356.752300
7.9685,2.366625,356.754500
7.9796,2.366760,356.756100
7.9902,2.366661,356.751400
8.0014,2.366638,356.757400
8.0127,2.366571,356.754500
8.0235,2.366541,356.748400
8.0346,2.366845,356.754500
8.0456,2.366735,356.758600
8.0567,2.366795,356.754000
8.0679,2.366889,356.750800
8.0790,2.367045,356.767500
8.0938,2.367015,356.760400
8.1098,2.366978,356.764800
8.1122,2.367085,356.747700
8.1227,2.367092,356.760400
8.1340,2.367133,356.765000
8.1451,2.367211,356.756000
8.1561,2.367296,356.769400
8.1670,2.367274,356.757400
8.1782,2.367493,356.773900
8.1893,2.367386,356.770500
8.2004,2.367431,356.772300
8.2115,2.367271,356.766100
8.2226,2.367207,356.760000
8.2338,2.367435,356.778100
8.2489,2.367496,356.774300
8.2561,2.367560,356.776900
8.2670,2.367518,356.765700
8.2784,2.367552,356.772800
8.2893,2.367544,356.768300
8.3006,2.367640,356.778300
8.3115,2.367769,356.770100
8.3226,2.367807,356.771600
8.3336,2.367731,356.766900
8.3448,2.367661,356.775200
8.3559,2.367666,356.767800
8.3670,2.367606,356.763700
8.3782,2.367747,356.778700
8.3893,2.367738,356.773600
8.4042,2.367695,356.772100
8.4114,2.367504,356.767600
8.4226,2.367560,356.770400
8.4336,2.367584,356.781000
8.4447,2.367656,356.781700
8.4558,2.367693,356.785500
8.4669,2.367682,356.775100
8.4783,2.367809,356.782500
8.4891,2.367718,356.781500
8.5004,2.367662,356.787100
8.5118,2.367790,356.796200
8.5232,2.367802,356.782700
8.5346,2.367832,356.792500
8.5460,2.367828,356.793700
